country,score
Netherlands,0.9714
Singapore,0.9571
Hong Kong,0.9286
Finland,0.8857
United Arab Emirates,0.8857
Panama,0.8857
Belgium,0.8714
Iceland,0.8429
United States,0.8286
Denmark,0.8143
Estonia,0.8
Qatar,0.8
Norway,0.7857
United Kingdom,0.7857
Germany,0.7857
Spain,0.7857
New Zealand,0.7857
Sweden,0.7857
Puerto Rico,0.7714
Malaysia,0.7714
Canada,0.7714
Japan,0.7571
Malta,0.7571
Barbados,0.7571
Korea,0.7429
Namibia,0.7429
Portugal,0.7429
Côte d'Ivoire,0.7429
Ireland,0.7286
France,0.7286
Latvia,0.7286
Bahrain,0.7286
Morocco,0.7143
Slovenia,0.7143
Uruguay,0.7
Jamaica,0.7
Chile,0.7
Australia,0.7
Dominican Republic,0.6857
Lithuania,0.6857
South Africa,0.6857
Azerbaijan,0.6714
Saudi Arabia,0.6714
Israel,0.6714
Egypt,0.6714
Ecuador,0.6571
Cyprus,0.6571
China,0.6571
India,0.6571
Croatia,0.6571
Oman,0.6571
Luxembourg,0.6571
Jordan,0.6429
Turkey,0.6429
Seychelles,0.6429
Kenya,0.6429
Greece,0.6429
Sri Lanka,0.6429
Switzerland,0.6429
The Gambia,0.6286
Suriname,0.6286
Senegal,0.6286
Italy,0.6286
Honduras,0.6286
Thailand,0.6143
Mexico,0.6143
Russia,0.6
Mauritius,0.6
Poland,0.6
Montenegro,0.5857
Bulgaria,0.5857
Georgia,0.5857
Albania,0.5857
Indonesia,0.5714
Iran,0.5714
Pakistan,0.5714
Brunei,0.5571
Benin,0.5571
Austria,0.5571
Trinidad and Tobago,0.5429
Kuwait,0.5429
Colombia,0.5429
Vietnam,0.5286
Argentina,0.5286
Peru,0.5286
Cambodia,0.5286
Mozambique,0.5143
North Macedonia,0.5143
Madagascar,0.5143
Ghana,0.5143
Cabo Verde,0.5143
Bangladesh,0.5143
Eswatini,0.5143
Guyana,0.5143
Guatemala,0.5143
Ukraine,0.5
Romania,0.5
Czech Republic,0.5
Lebanon,0.5
El Salvador,0.4857
Tanzania,0.4857
Syrian Arab Republic,0.4857
Guinea,0.4857
Costa Rica,0.4857
Algeria,0.4857
Tunisia,0.4714
Sierra Leone,0.4714
Belize,0.4714
Paraguay,0.4714
Kazakhstan,0.4571
Liberia,0.4571
Hungary,0.4571
Gabon,0.4571
Nicaragua,0.4429
Zimbabwe,0.4429
Cameroon,0.4429
Botswana,0.4429
Brazil,0.4429
Burkina Faso,0.4429
Serbia,0.4286
Lesotho,0.4286
Slovak Republic,0.4286
Rwanda,0.4143
Philippines,0.4143
Nigeria,0.4
Burundi,0.4
Angola,0.3857
Venezuela,0.3857
Ethiopia,0.3857
Dem. Rep. Congo,0.3857
Haiti,0.3714
Libya,0.3714
Uganda,0.3714
Yemen,0.3714
Myanmar,0.3714
Mauritania,0.3714
Armenia,0.3571
Moldova,0.3429
Lao PDR,0.3286
Zambia,0.3286
Timor-Leste,0.3143
Malawi,0.3
Bosnia and Herzegovina,0.3
Bolivia,0.3
Bhutan,0.2857
Tajikistan,0.2857
Chad,0.2857
Mali,0.2714
Nepal,0.2286
Mongolia,0.2
Kyrgyz Republic,0.2
